"POP" "AR" "RDR" "HR" "VH" "F" "IND"
1e+05 13.6 2718 18.5 22 0.25 1
8872 2.3 250 12 3 0.35 0
17338 4.3 350 12 2 0.6 1
26170 4.6 186 12 4 0.5 0
60000 17 600 12 14 0.5 0
40000 7 420 12 5 0.5 1
30850 3.9 249 12 2 0.5 1
25000 6.5 350 13 8 0.25 0
44000 10.9 925 24 19 0.3 0
24300 6.4 514 24 12 0.6 0
21455 2.6 117 8 4 0.5 0
47000 7 450 12 7 0.5 0
45000 7 275 12 5 0.5 0
23000 6 360 12 6 0.25 1
20476 3.8 307 11 4 0.5 1
20504 5.1 227 12 5 0.5 0
71901 15.8 208 12 4 0.6 0
70000 12 700 16.3 13 1 0
30000 10 440 12 7 1 0
26689 3.5 275 15 4 0.01 1
9790 4.6 201 15.5 3 0.5 0
19805 10.4 314 14 5 0.5 1
5321 4.7 95 15 2 0.5 0
56828 51.6 679 12 15 0.6 1
11995 5.1 224 12 4 0.5 0
10490 6.1 277 12 4 0.5 1
7883 4.1 67 10 2 0.5 0
3025 2.4 83 8 2 0.5 0
17074 7.5 245 12 4 0.5 1
7728 4.3 148 12 3 0.5 0
27137 14.2 266 12 6 0.5 0
12287 4.1 270 12 4 0.5 1
24090 568 56 10.5 3 0.5 0
9521 4.3 236 12 4 0.5 1
18404 408 251 12 5 0.5 1
7253 4.6 150 12 3 0.5 0
28500 10 370 10 5 0.25 1
35176 24.9 464 16.8 10 0.5 0
12988 5.2 260 12 5 0.5 0
9892 251 63 12 3 0.5 0
15136 15.7 341 14.5 6 0.5 1
26321 17.8 222 12 6 0.5 0
18000 10 200 10 3 0.5 1
9500 5.5 228 11.5 3 0.25 1
27600 9 900 12 4 0.1 1
24127 7.2 199 12 6 0.6 0
14000 4 600 20 6 0.25 1
53860 3 300 17 10 0.01 0
18000 28 310 14.5 9 0.25 0
29103 2.5 369 15.2 4 0.2 1
102711 9.5 400 16 11 0.01 0
25000 5 140 5 2 0.35 1
32000 5 3400 18.7 12 0.35 1
35000 7 200 4 4 0.35 1
