Y x1 x2
 33.50  19.19  -3.42
 27.29  17.57  -4.52
 22.60  18.57  -6.82
 13.39  22.06 -12.33
 20.71  18.09  -7.09
 18.51  20.10  -9.20
 31.33  17.26 -12.21
 25.64  18.18  -5.07
 10.65  20.05 -11.71
  7.12  21.17 -12.87
 15.96  20.15  -9.51
 16.75  18.47  -9.00
 28.95  19.83  -5.50
 23.29  20.68  -8.02
  8.77  18.54 -11.11
 13.70  19.00  -9.27
 27.68  16.98 -14.37
 16.11  18.43  -8.59
 39.28  19.56  -1.95
 21.34  18.72  -6.96
 23.84  20.63  -7.30
 30.50  17.47  -3.91
 17.33  20.20  -9.91
 25.04  20.61  -6.52
 32.02  19.77  -3.77
 17.35  18.63  -8.55
 27.23  16.94 -14.54
  7.13  20.23 -12.35
 26.91  18.44  -5.39
 42.65  17.89   0.61
 30.22  20.28  -5.13
 14.35  19.48  -9.82
 11.00  16.71  -9.62
 18.60  18.32  -7.37
 25.95  19.23  -5.77
 15.79  21.00 -10.45
 30.47  17.06 -12.87
 34.23  19.38  -3.24
 15.61  19.95  -9.61
 26.34  20.38  -7.01
 22.23  18.07  -6.14
 22.69  18.13  -6.58
 27.92  18.75  -4.79
 15.15  18.77  -9.25
 34.62  20.77  -3.95
 21.08  19.10  -7.39
 15.77  21.51  -0.82
 32.17  18.11  -3.09
 26.20  19.94  -6.15
 18.80  20.29  -8.97
 12.03  20.30 -11.26
  8.95  20.52 -12.23
  1.51  19.87 -15.00
 22.79  19.00  -6.74
 16.48  18.26  -8.32
 21.71  19.79  -7.70
 13.53  21.92  -1.86
 10.13  21.07 -12.70
 28.61  18.99  -4.57
 23.00  21.67  -8.47
 24.07  20.27  -6.95
 30.19  19.11  -4.37
 32.36  20.55  -4.67
  9.42  21.17 -13.04
 17.88  21.87 -10.20
 19.01  20.22  -9.02
 16.66  21.63  -0.06
 24.17  19.86  -6.55
 19.68  18.42  -6.56
 39.18  18.68  -1.23
 28.32  19.17  -4.67
 28.79  19.88  -5.43
 15.02  18.39  -9.00
 17.20  20.24  -9.63
 17.08  19.36  -8.53
 21.74  20.91  -8.54
 17.06  21.97  -0.13
 21.59  18.71  -6.55
 21.93  19.66  -7.02
 21.80  20.04  -7.27
 11.11  21.99 -12.70
 21.11  18.00  -6.13
 21.87  19.01  -7.45
